 Vendor,Fund,Check #,Date,Amount
EDWARD ZICKOWSKI,GENERAL FUND,579269,2026-04-09T00:00:00.000,1425.00
AIR BLAIR ATHLETICS,GENERAL FUND,579256,2026-04-09T00:00:00.000,7683.90
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579270,2026-04-09T00:00:00.000,1883.99
VENUETECH MANAGEMENT GROUP,GENERAL FUND,579299,2026-04-09T00:00:00.000,28424.76
VENUETECH MANAGEMENT GROUP,GENERAL FUND,579299,2026-04-09T00:00:00.000,29155.10
AD SPECIAL T'S INC,GENERAL FUND,579255,2026-04-09T00:00:00.000,492.79
"AMERICAN TIRE RECYCLING, LLC",CENTRAL FUEL STATION/GARAGE,579309,2026-04-09T00:00:00.000,1000.00
"BITFOCUS, INC.",CAP - HHAP 5,579323,2026-04-09T00:00:00.000,2123.82
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579307,2026-04-09T00:00:00.000,32.55
"FUTURE AUTOMOTIVE FAIRFIELD, INC.",CENTRAL FUEL STATION/GARAGE,579343,2026-04-09T00:00:00.000,327.73
"VESTIS GROUP, INC.",CENTRAL FUEL STATION/GARAGE,579300,2026-04-09T00:00:00.000,488.02
COAST COUNTIES TRUCK & EQUIPMENT CO,CENTRAL FUEL STATION/GARAGE,579331,2026-04-09T00:00:00.000,94.51
NFI.PARTS,CENTRAL FUEL STATION/GARAGE,579288,2026-04-09T00:00:00.000,442.29
NFI.PARTS,CENTRAL FUEL STATION/GARAGE,579288,2026-04-09T00:00:00.000,166.75
NFI.PARTS,CENTRAL FUEL STATION/GARAGE,579288,2026-04-09T00:00:00.000,68.29
RON DU PRATT FORD,CENTRAL FUEL STATION/GARAGE,579294,2026-04-09T00:00:00.000,1046.67
RON DU PRATT FORD,CENTRAL FUEL STATION/GARAGE,579294,2026-04-09T00:00:00.000,849.20
RON DU PRATT FORD,CENTRAL FUEL STATION/GARAGE,579294,2026-04-09T00:00:00.000,64.01
RON DU PRATT FORD,CENTRAL FUEL STATION/GARAGE,579294,2026-04-09T00:00:00.000,92.25
RON DU PRATT FORD,CENTRAL FUEL STATION/GARAGE,579294,2026-04-09T00:00:00.000,25.06
"LEHR UPFITTERS OPCO, LLC",CENTRAL FUEL STATION/GARAGE,579281,2026-04-09T00:00:00.000,1055.65
"LEHR UPFITTERS OPCO, LLC",CENTRAL FUEL STATION/GARAGE,579281,2026-04-09T00:00:00.000,3066.42
REFUND ONE TIME PAY,WORKERS COMPENSATION INSURANCE,579380,2026-04-09T00:00:00.000,840.00
REFUND ONE TIME PAY,WORKERS COMPENSATION INSURANCE,579383,2026-04-09T00:00:00.000,410.00
REFUND ONE TIME PAY,WORKERS COMPENSATION INSURANCE,579381,2026-04-09T00:00:00.000,260.00
REFUND ONE TIME PAY,WORKERS COMPENSATION INSURANCE,579382,2026-04-09T00:00:00.000,360.00
BLUE MOUNTAIN CONSTRUCTION SERVICES INC,82 STREETS/BRIDGES FUND,579324,2026-04-09T00:00:00.000,1700.00
MARIANNA SCHIAVONE,WORKERS COMPENSATION INSURANCE,579358,2026-04-09T00:00:00.000,1010.00
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579312,2026-04-09T00:00:00.000,391.85
"GOLDEN STATE EMERGENCY VEHICLE SERVICE, INC.",CENTRAL FUEL STATION/GARAGE,579347,2026-04-09T00:00:00.000,193.61
B Z SERVICE STATION,CENTRAL FUEL STATION/GARAGE,579259,2026-04-09T00:00:00.000,125.00
"LEHR UPFITTERS OPCO, LLC",EQUIPMENT REPLACEMENT,579281,2026-04-09T00:00:00.000,68.52
"LEHR UPFITTERS OPCO, LLC",EQUIPMENT REPLACEMENT,579281,2026-04-09T00:00:00.000,6451.36
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579356,2026-04-09T00:00:00.000,20.40
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579356,2026-04-09T00:00:00.000,24.00
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579378,2026-04-09T00:00:00.000,51.60
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579369,2026-04-09T00:00:00.000,40.80
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579386,2026-04-09T00:00:00.000,25.80
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579305,2026-04-09T00:00:00.000,20.40
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579310,2026-04-09T00:00:00.000,258.00
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579280,2026-04-09T00:00:00.000,206.40
"ODP BUSINESS SOLUTIONS, LLC",WORKERS COMPENSATION INSURANCE,579405,2026-04-09T00:00:00.000,221.24
"ODP BUSINESS SOLUTIONS, LLC",GENERAL FUND,579405,2026-04-09T00:00:00.000,221.25
SELF INSURED SERVICES COMPANY,PAYROLL TRUST,579260,2026-04-09T00:00:00.000,20367.49
P & A ADMINISTRATIVE SERVICES INC.,PAYROLL TRUST,579290,2026-04-09T00:00:00.000,5893.82
GOLDFARB & LIPMAN,SUCCESSOR HOUSING AGENCY,579348,2026-04-09T00:00:00.000,337.50
GOLDFARB & LIPMAN,SUCCESSOR HOUSING AGENCY,579348,2026-04-09T00:00:00.000,693.50
FEDERAL EXPRESS CORP,SUCCESSOR HOUSING AGENCY,579341,2026-04-09T00:00:00.000,5.64
MORGAN SUMMERS,GENERAL FUND,579367,2026-04-09T00:00:00.000,450.00
MARIA GUADALUPE ROCHA CISNEROS,GENERAL FUND,579360,2026-04-09T00:00:00.000,1000.00
MELISSA MCCOMMON,GENERAL FUND,579364,2026-04-09T00:00:00.000,200.00
ROGER PRESA,GENERAL FUND,579384,2026-04-09T00:00:00.000,250.00
JACQUALYN SHOOK,GENERAL FUND,579352,2026-04-09T00:00:00.000,450.00
